Index,Zone,Region,Resource,OptValues
116,1,AZ,battery_mid,22360.200890881646
118,1,AZ,newpumped,0.0
142,2,CO,battery_mid,14053.37866748879
144,2,CO,newpumped,0.0
164,3,ID,battery_mid,1984.8388301022283
166,3,ID,newpumped,0.0
184,4,MT,battery_mid,2028.1304347826087
186,4,MT,newpumped,0.0
200,5,NM,battery_mid,55756.50414930827
202,5,NM,newpumped,0.0
226,6,NV,battery_mid,87126.04999057329
228,6,NV,newpumped,0.0
261,7,NorCal,battery_mid,114322.94286611333
263,7,NorCal,newpumped,0.0
316,8,PNW,battery_mid,8454.240028904916
318,8,PNW,newpumped,0.0
350,9,SD_IID,battery_mid,9505.350968292103
352,9,SD_IID,newpumped,0.0
386,10,SoCal,battery_mid,70559.8937491473
388,10,SoCal,newpumped,0.0
449,11,UT,battery_mid,20274.023371728974
451,11,UT,newpumped,0.0
470,12,WY,battery_mid,3716.1584069289956
472,12,WY,newpumped,0.0
117,1,AZ,hydropower_npd4_mid,0.0
143,2,CO,hydropower_npd4_mid,0.0
165,3,ID,hydropower_npd4_mid,0.0
185,4,MT,hydropower_npd4_mid,0.0
201,5,NM,hydropower_npd4_mid,0.0
227,6,NV,hydropower_npd4_mid,0.0
262,7,NorCal,hydropower_npd4_mid,0.0
317,8,PNW,hydropower_npd4_mid,0.0
351,9,SD_IID,hydropower_npd4_mid,0.0
387,10,SoCal,hydropower_npd4_mid,0.0
450,11,UT,hydropower_npd4_mid,0.0
471,12,WY,hydropower_npd4_mid,0.0
